,Name,Position,Height,Weight,Pick,Vertical,Cluster,Topic,Frequent
153,James Ennis,3.0,79.0,201,50,36.5,3,0,"{u'limited': 2, u'strong': 3, u'freakish': 3}"
154,Romero Osby,4.0,79.0,230,51,35.5,3,1,"{u'impressive': 2, u'remarkable': 1, u'outstanding': 1}"
155,Lorenzo Brown,1.0,77.0,189,52,34.0,0,0,"{u'terrific': 7, u'good': 3, u'capable': 3}"
156,Arsalan Kazemi,4.0,80.0,225,54,33.5,3,0,"{u'solid': 9, u'terrific': 4, u'big': 4}"
157,Joffrey Lauvergne,4.0,83.0,240,55,31.6,1,0,"{u'big': 2, u'different': 2, u'french': 2}"
158,Peyton Siva,1.0,73.0,181,56,41.5,3,0,{u'past': 1}
159,Alex Oriakhi,4.5,81.0,238,57,32.5,1,0,"{u'good': 7, u'offensive': 10, u'nice': 7}"
160,Deshaun Thomas,3.5,79.0,220,58,32.0,3,0,"{u'early': 2, u'long': 2, u'nice': 3}"
161,Bojan Dubljevic,4.5,82.0,242,59,27.5,3,0,"{u'past': 2, u'national': 2, u'productive': 3}"
162,Janis Timma,3.0,79.0,226,60,33.5,3,0,"{u'great': 2, u'physical': 2, u'capable': 2}"
163,Anthony Davis,4.0,82.0,222,1,,1,0,"{u'big': 8, u'second': 4, u'able': 6}"
164,Michael Kidd-Gilchrist,3.0,79.0,233,2,35.5,0,0,"{u'offensive': 4, u'overall': 5, u'excellent': 4}"
165,Bradley Beal,2.0,77.0,202,3,39.0,0,0,"{u'great': 3, u'outstanding': 2, u'excellent': 3}"
166,Dion Waiters,2.0,76.0,221,4,,3,0,"{u'quick': 3, u'good': 3, u'able': 2}"
167,Thomas Robinson,4.0,81.0,244,5,35.5,0,0,"{u'limited': 5, u'great': 5, u'offensive': 4}"
168,Damian Lillard,1.0,75.0,189,6,39.5,3,0,"{u'average': 4, u'good': 8, u'legitimate': 3}"
169,Harrison Barnes,3.0,80.0,228,7,39.5,0,0,"{u'poor': 3, u'great': 2, u'overall': 2}"
170,Terrence Ross,2.5,79.0,197,8,37.5,3,0,"{u'major': 4, u'long': 3, u'nice': 4}"
171,Andre Drummond,5.0,84.0,279,9,33.5,0,0,"{u'capable': 6, u'long': 6, u'physical': 9}"
172,Austin Rivers,2.0,77.0,203,10,37.5,0,0,"{u'offensive': 2, u'dribble': 2, u'capable': 2}"
173,Meyers Leonard,5.0,85.0,250,11,32.5,3,0,"{u'defensive': 2, u'long': 2, u'physical': 2}"
174,Jeremy Lamb,2.0,77.0,179,12,38.0,2,0,"{u'offensive': 3, u'free': 3, u'difficult': 4}"
175,Kendall Marshall,1.0,76.0,198,13,37.0,0,0,"{u'great': 6, u'little': 5, u'long': 4}"
176,John Henson,4.0,82.0,216,14,30.0,1,0,"{u'great': 8, u'able': 10, u'excellent': 9}"
177,Moe Harkless,3.0,81.0,207,15,37.0,0,0,"{u'good': 6, u'able': 2, u'long': 3}"
178,Royce White,4.0,80.0,261,16,,1,0,"{u'real': 1, u'big': 2, u'legal': 2}"
179,Tyler Zeller,5.0,84.0,247,17,34.0,1,0,"{u'big': 4, u'great': 4, u'able': 3}"
180,Terrence Jones,4.0,81.0,252,18,34.5,0,0,"{u'excellent': 3, u'strong': 2, u'nice': 3}"
181,Andrew Nicholson,4.5,81.0,234,19,30.5,1,0,"{u'overall': 4, u'impressive': 2, u'effective': 3}"
182,Evan Fournier,2.5,79.0,204,20,31.5,3,0,"{u'smooth': 4, u'french': 4, u'nice': 4}"
183,Jared Sullinger,5.0,81.0,268,21,31.0,1,0,"{u'big': 8, u'great': 7, u'best': 7}"
184,Fab Melo,5.0,84.0,255,22,31.0,1,0,"{u'better': 3, u'big': 3, u'good': 3}"
185,John Jenkins,2.0,76.0,212,23,36.5,2,0,"{u'quick': 3, u'decent': 2, u'able': 2}"
186,Tony Wroten,1.5,78.0,203,25,35.5,0,0,"{u'great': 4, u'old': 3, u'outstanding': 3}"
187,Miles Plumlee,5.0,84.0,252,26,40.5,1,0,"{u'big': 4, u'national': 2, u'young': 2}"
188,Arnett Moultrie,4.5,83.0,233,27,37.5,2,0,"{u'quick': 4, u'offensive': 5, u'defensive': 4}"
189,Perry Jones,4.0,83.0,234,28,38.5,3,0,"{u'average': 6, u'bad': 4, u'long': 3}"
190,Marquis Teague,1.0,74.0,180,29,36.5,2,0,"{u'open': 3, u'able': 5, u'physical': 3}"
191,Festus Ezeli,5.0,83.0,264,30,33.5,1,0,"{u'decent': 2, u'good': 3, u'excellent': 2}"
192,Jeff Taylor,3.0,79.0,213,31,40.0,2,0,"{u'solid': 6, u'good': 8, u'excellent': 5}"
193,Tomas Satoransky,1.5,79.0,201,32,,3,0,"{u'old': 3, u'impressive': 3, u'excellent': 3}"
194,Jae Crowder,3.0,78.0,241,34,34.5,3,0,"{u'efficient': 1, u'senior': 1, u'improved': 1}"
195,Draymond Green,4.0,79.0,236,35,33.0,1,0,"{u'strong': 3, u'able': 3, u'best': 3}"
196,Orlando Johnson,2.0,77.0,224,36,39.5,3,0,"{u'terrific': 1, u'strong': 1, u'best': 1}"
197,Quincy Acy,4.0,80.0,224,37,30.5,2,0,"{u'offensive': 8, u'talented': 3, u'defensive': 4}"
198,Quincy Miller,3.0,82.0,219,38,36.0,0,0,"{u'good': 3, u'significant': 2, u'nice': 2}"
199,Khris Middleton,3.0,80.0,216,39,31.0,3,0,"{u'better': 1, u'good': 1, u'significant': 2}"
200,Will Barton,3.0,78.0,174,40,34.0,2,0,"{u'questionable': 1, u'great': 2, u'able': 2}"
201,Tyshawn Taylor,1.0,76.0,177,41,36.5,2,0,"{u'good': 7, u'open': 5, u'capable': 4}"
202,Doron Lamb,2.0,77.0,199,42,33.5,3,0,"{u'smooth': 3, u'able': 4, u'nice': 3}"
203,Kim English,2.5,78.0,192,44,36.5,2,0,"{u'good': 7, u'offensive': 6, u'nice': 6}"
204,Justin Hamilton,5.0,83.0,264,45,28.8,1,0,"{u'solid': 2, u'big': 3, u'junior': 2}"
205,Darius Miller,3.0,79.0,233,46,37.0,3,0,"{u'limited': 2, u'best': 2, u'physical': 3}"
206,Kevin Murphy,2.5,78.0,194,47,36.5,3,0,"{u'little': 2, u'open': 1, u'impressive': 2}"
207,Kostas Papanikolaou,3.0,80.0,230,48,25.5,3,0,"{u'small': 4, u'greek': 4, u'european': 3}"
208,Izzet Turkyilmaz,5.0,85.0,211,50,28.5,3,0,"{u'limited': 1, u'second': 3, u'young': 2}"
209,Kris Joseph,3.0,79.0,215,51,35.0,2,0,"{u'solid': 3, u'small': 2, u'excellent': 3}"
210,Ognjen Kuzmic,5.0,85.0,231,52,,1,0,"{u'big': 1, u'second': 1, u'impressive': 1}"
211,Furkan Aldemir,4.0,81.0,220,53,,1,0,"{u'gaudy': 1, u'impressive': 1, u'turkish': 2}"
212,Tornike Shengelia,4.0,81.0,228,54,28.5,3,0,"{u'solid': 5, u'better': 3, u'nice': 3}"
213,Darius Johnson-Odom,2.0,75.0,212,55,41.5,2,0,"{u'good': 4, u'strong': 4, u'capable': 3}"
214,Tomislav Zubcic,4.0,83.0,229,56,27.0,2,0,"{u'small': 7, u'excellent': 6, u'nice': 11}"
