,Name,Year,Position,Height,Weight,Pick,Vertical,Cluster,Topic,Frequent
539,Dee Brown,2006,1.0,72.0,185,46,,1,1,"{u'outstanding': 6, u'tough': 6, u'excellent': 8}"
540,Paul Millsap,2006,4.0,79.0,260,47,32.5,0,2,"{u'big': 12, u'good': 12, u'offensive': 11}"
541,Vladimir Veremeenko,2006,3.5,82.0,240,48,,0,2,"{u'quick': 4, u'great': 4, u'good': 11}"
542,Leon Powe,2006,4.0,80.0,240,49,,0,0,"{u'big': 7, u'great': 13, u'low': 7}"
543,Ryan Hollins,2006,5.0,84.0,230,50,,0,2,"{u'athletic': 8, u'big': 8, u'good': 8}"
544,Guillermo Diaz,2006,1.5,74.0,185,52,,1,1,"{u'better': 7, u'nice': 6, u'excellent': 6}"
545,Yotam Halperin,2006,1.5,77.0,210,53,,1,1,"{u'good': 15, u'nice': 9, u'european': 11}"
546,Hassan Adams,2006,3.0,76.0,220,54,,2,1,"{u'good': 9, u'open': 5, u'mid': 6}"
547,Edin Bavcic,2006,4.0,83.0,245,56,,2,2,"{u'solid': 1, u'good': 3, u'nice': 3}"
548,Loukas Mavrokefalidis,2006,5.0,83.0,260,57,,2,2,"{u'athletic': 4, u'limited': 4, u'good': 8}"
549,Damir Markota,2006,4.0,82.0,225,59,,0,2,"{u'great': 9, u'good': 30, u'able': 8}"
550,Will Blalock,2006,1.0,73.0,195,60,40.0,1,1,"{u'big': 3, u'second': 3, u'good': 9}"
551,Andrew Bogut,2005,5.0,84.0,245,1,33.5,0,2,"{u'solid': 10, u'big': 13, u'good': 14}"
552,Marvin Williams,2005,4.0,81.0,230,2,35.0,0,0,"{u'quick': 8, u'great': 11, u'good': 16}"
553,Deron Williams,2005,1.0,75.0,210,3,35.0,1,1,"{u'great': 7, u'good': 9, u'best': 6}"
554,Chris Paul,2005,1.0,72.0,175,4,38.0,1,1,"{u'big': 7, u'great': 6, u'hard': 4}"
555,Raymond Felton,2005,1.0,73.0,200,5,33.5,1,1,"{u'great': 12, u'right': 4, u'open': 5}"
556,Martell Webster,2005,2.5,79.0,210,6,30.5,2,0,"{u'better': 5, u'great': 11, u'good': 11}"
557,Charlie Villanueva,2005,4.0,83.0,240,7,31.0,0,0,"{u'big': 4, u'great': 4, u'good': 11}"
558,Channing Frye,2005,5.0,6-11,248,8,31.0,0,2,"{u'big': 12, u'good': 5, u'nice': 5}"
559,Ike Diogu,2005,4.0,80.0,250,9,31.0,2,0,"{u'decent': 2, u'good': 2, u'defensive': 2}"
560,Andrew Bynum,2005,5.0,84.0,285,10,,2,1,"{u'big': 5, u'great': 5, u'young': 4}"
561,Yaroslav Korolev,2005,3.0,81.0,203,12,,2,2,"{u'great': 5, u'good': 16, u'old': 6}"
562,Sean May,2005,4.0,81.0,266,13,33.0,0,2,"{u'solid': 5, u'good': 11, u'low': 4}"
563,Rashad McCants,2005,2.0,76.0,207,14,34.5,2,0,"{u'great': 8, u'good': 12, u'little': 3}"
564,Antoine Wright,2005,2.5,79.0,210,15,29.5,2,1,"{u'big': 4, u'good': 13, u'nice': 8}"
565,Joey Graham,2005,3.0,79.0,225,16,36.0,0,0,"{u'good': 12, u'nice': 7, u'physical': 10}"
566,Danny Granger,2005,3.0,80.0,225,17,34.0,2,0,"{u'solid': 8, u'good': 18, u'excellent': 4}"
567,Gerald Green,2005,2.5,80.0,195,18,39.0,2,1,"{u'great': 2, u'good': 4, u'spectacular': 2}"
568,Hakim Warrick,2005,4.0,81.0,215,19,38.0,0,2,"{u'good': 5, u'tough': 2, u'effective': 3}"
569,Nate Robinson,2005,1.5,69.0,180,21,43.5,1,1,"{u'quick': 5, u'good': 8, u'effective': 6}"
570,Jarrett Jack,2005,1.0,75.0,205,22,28.5,2,1,"{u'good': 6, u'defensive': 5, u'excellent': 7}"
571,Francisco Garcia,2005,2.0,79.0,192,23,31.5,2,1,"{u'athletic': 7, u'good': 5, u'best': 7}"
572,Luther Head,2005,2.0,75.0,185,24,38.5,1,0,"{u'solid': 3, u'great': 3, u'good': 4}"
573,Johan Petro,2005,5.0,84.0,258,25,,0,2,"{u'big': 12, u'good': 18, u'physical': 12}"
574,Jason Maxiell,2005,4.0,79.0,260,26,,0,0,"{u'aggressive': 4, u'good': 10, u'tough': 4}"
575,Linas Kleiza,2005,3.5,80.0,250,27,,2,0,"{u'small': 5, u'big': 8, u'good': 20}"
576,Ian Mahinmi,2005,5.0,82.0,223,28,,0,0,"{u'good': 9, u'offensive': 6, u'nice': 8}"
